Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,employer,220915,15,no,1,2,5,2,2,1,3,condominium,10,Johor,2,3652,1165552,18803,Accept,7
1,employer,238990,14,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,7616,657335,12506,Reject,6
1,employer,763798,13,no,1,2,5,2,2,1,2,condominium,10,Johor,2,7968,1438566,13948,Accept,9
1,employer,155112,14,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,6821,424772,12205,Accept,9
1,employer,623271,24,no,1,2,5,2,2,1,2,condominium,10,Johor,1,5697,794586,15483,Accept,6
1,employer,732986,17,yes,1,2,5,2,2,1,1,condominium,10,Johor,2,5680,499844,10774,Accept,7
1,employer,475541,17,no,1,2,5,2,2,1,3,condominium,10,Johor,3,8893,1394458,8679,Accept,7
1,employer,364495,20,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,5168,884635,10681,Accept,7
1,employer,497623,22,no,1,2,5,2,2,1,2,condominium,10,Johor,3,9118,1254034,14645,Accept,6
1,employer,329944,11,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,8015,1220164,11040,Accept,9
1,employer,783763,10,no,1,2,5,2,2,1,2,condominium,10,Johor,2,6819,1122740,11934,Reject,9
1,employer,399912,23,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,11763,1423797,17178,Accept,6
1,employer,314643,21,no,1,2,5,2,2,1,3,condominium,10,Johor,2,10653,1372361,11826,Accept,8
1,employer,236410,19,yes,1,2,5,2,2,1,3,condominium,10,Johor,1,8175,1194440,13758,Accept,9
1,employer,659582,23,no,1,2,5,2,2,1,2,condominium,10,Johor,1,6153,662544,12732,Reject,9
1,employer,625271,24,yes,1,2,5,2,2,1,2,condominium,10,Johor,1,6693,1381890,13067,Accept,7
1,employer,149254,21,no,1,2,5,2,2,1,3,condominium,10,Johor,2,8337,673952,13691,Accept,6
1,employer,177790,20,yes,1,2,5,2,2,1,1,condominium,10,Johor,1,9466,1100588,11605,Reject,7
1,employer,307187,19,no,1,2,5,2,2,1,2,condominium,10,Johor,1,11466,659895,18219,Reject,8
1,employer,141575,15,yes,1,2,5,2,2,1,3,condominium,10,Johor,1,5644,525593,16949,Accept,9
1,employer,445119,15,no,1,2,5,2,2,1,3,condominium,10,Johor,1,6405,909020,17511,Accept,6
1,employer,598378,13,yes,1,2,5,2,2,1,2,condominium,10,Johor,2,11778,980732,15020,Accept,7
1,employer,695823,24,no,1,2,5,2,2,1,1,condominium,10,Johor,2,9608,1001510,14525,Accept,9
1,employer,686314,14,yes,1,2,5,2,2,1,2,condominium,10,Johor,1,6394,783852,19169,Reject,9
1,employer,239044,22,no,1,2,5,2,2,1,3,condominium,10,Johor,2,8092,1089965,11775,Reject,9
1,employer,141133,21,yes,1,2,5,2,2,1,1,condominium,10,Johor,2,8693,1233187,16077,Accept,7
1,employer,402533,11,no,1,2,5,2,2,1,3,condominium,10,Johor,2,10700,1144271,17361,Accept,7
1,employer,464552,13,yes,1,2,5,2,2,1,1,condominium,10,Johor,2,4819,911230,13055,Accept,8
1,employer,557110,11,no,1,2,5,2,2,1,2,condominium,10,Johor,2,8557,922105,14788,Accept,7
1,employer,606039,16,yes,1,2,5,2,2,1,3,condominium,10,Johor,1,4753,556824,15715,Accept,9
1,employer,475184,15,no,1,2,5,2,2,1,2,condominium,10,Johor,2,10244,1429656,10203,Accept,8
1,employer,713740,24,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,3590,1270226,17089,Reject,8
1,employer,777663,18,no,1,2,5,2,2,1,2,condominium,10,Johor,2,4480,1370283,16619,Accept,7
1,employer,197664,18,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,4464,800328,16201,Accept,8
1,employer,505385,11,no,1,2,5,2,2,1,2,condominium,10,Johor,2,9852,690450,8474,Accept,6
1,employer,685977,24,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,5029,436358,17934,Accept,9
1,employer,317361,23,no,1,2,5,2,2,1,2,condominium,10,Johor,3,8807,900288,12263,Accept,9
1,employer,461385,21,yes,1,2,5,2,2,1,3,condominium,10,Johor,1,11639,884482,9536,Accept,9
1,employer,584065,24,no,1,2,5,2,2,1,2,condominium,10,Johor,1,8368,1366202,10966,Accept,7
1,employer,522489,21,yes,1,2,5,2,2,1,3,condominium,10,Johor,3,8157,591823,17945,Accept,7
1,employer,137116,15,no,1,2,5,2,2,1,2,condominium,10,Johor,3,7033,1074148,12806,Accept,7
1,employer,640133,17,yes,1,2,5,2,2,1,2,condominium,10,Johor,2,3600,685876,12713,Accept,6
1,employer,169182,10,no,1,2,5,2,2,1,2,condominium,10,Johor,2,9463,1223803,8690,Accept,6
1,employer,352362,10,yes,1,2,5,2,2,1,1,condominium,10,Johor,3,8973,1336122,9567,Accept,9
1,employer,127205,15,no,1,2,5,2,2,1,3,condominium,10,Johor,1,8201,464657,13331,Reject,6
1,employer,409535,16,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,8118,1256233,19163,Accept,6
1,employer,534178,16,no,1,2,5,2,2,1,2,condominium,10,Johor,3,6855,1199910,15580,Accept,8
1,employer,652696,16,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,8827,680814,12697,Reject,9
1,employer,226900,16,no,1,2,5,2,2,1,2,condominium,10,Johor,1,9777,679777,15057,Accept,8
1,employer,452995,18,yes,1,2,5,2,2,1,2,condominium,10,Johor,2,3688,840438,16100,Reject,6
1,employer,255346,15,no,1,2,5,2,2,1,2,condominium,10,Johor,2,8622,1288713,19859,Reject,7
1,employer,638121,17,yes,1,2,5,2,2,1,3,condominium,10,Johor,2,11726,545646,7809,Reject,6
1,employer,247875,22,no,1,2,5,2,2,1,1,condominium,10,Johor,2,12519,851018,15770,Reject,9
1,employer,374369,15,yes,1,2,5,2,2,1,2,condominium,10,Johor,3,10476,600309,10001,Reject,7
1,employer,140752,19,no,1,2,5,2,2,1,3,condominium,10,Johor,3,11799,526880,12226,Accept,9
6,employer,696830,18,yes,1,2,6,2,2,1,3,condominium,10,Johor,1,4102,1395602,9790,Accept,9
6,employer,589976,17,no,1,2,6,2,2,1,1,condominium,10,Johor,1,8281,806983,18287,Accept,8
6,employer,551583,11,yes,1,2,6,2,2,1,3,condominium,10,Johor,1,10383,562038,19631,Accept,8
6,employer,517695,18,no,1,2,6,2,2,1,3,condominium,10,Johor,3,5428,546043,15577,Accept,8
6,employer,614039,13,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,6684,1215501,17239,Accept,8
6,employer,529936,24,no,1,2,6,2,2,1,2,condominium,10,Johor,3,7175,750247,11914,Reject,7
6,employer,361713,11,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,10753,984563,18171,Accept,8
6,employer,668010,13,no,1,2,6,2,2,1,2,condominium,10,Johor,2,7132,1302913,18138,Accept,6
6,employer,115453,12,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,9685,1064534,11251,Reject,8
6,employer,377150,22,no,1,2,6,2,2,1,1,condominium,10,Johor,2,6015,1202187,11512,Accept,9
6,employer,436751,10,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,4466,795767,17972,Accept,9
6,employer,260873,15,no,1,2,6,2,2,1,2,condominium,10,Johor,3,8145,432222,8619,Accept,7
6,employer,469773,17,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,11309,1014152,17727,Reject,8
6,employer,418570,17,no,1,2,6,2,2,1,3,condominium,10,Johor,1,8955,430165,17700,Accept,9
6,employer,741127,12,yes,1,2,6,2,2,1,2,condominium,10,Johor,3,7573,909932,17632,Accept,7
6,employer,143740,20,no,1,2,6,2,2,1,2,condominium,10,Johor,3,9350,989198,12460,Accept,6
6,employer,435307,18,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,12012,877950,11217,Reject,8
6,employer,584865,14,no,1,2,6,2,2,1,1,condominium,10,Johor,2,7084,1049055,17446,Accept,9
6,employer,594021,16,yes,1,2,6,2,2,1,1,condominium,10,Johor,1,3886,1072056,9714,Reject,8
6,employer,674891,15,no,1,2,6,2,2,1,3,condominium,10,Johor,1,8721,462999,19583,Accept,7
6,employer,784252,10,yes,1,2,6,2,2,1,3,condominium,10,Johor,1,6807,593755,18540,Accept,7
6,employer,320031,22,no,1,2,6,2,2,1,3,condominium,10,Johor,3,10259,1304388,12095,Accept,9
6,employer,586171,16,yes,1,2,6,2,2,1,2,condominium,10,Johor,3,8167,986044,11267,Accept,8
6,employer,426166,12,no,1,2,6,2,2,1,2,condominium,10,Johor,1,4460,527257,14105,Accept,9
6,employer,408337,22,yes,1,2,6,2,2,1,3,condominium,10,Johor,1,12483,911219,11297,Accept,6
6,employer,270671,16,no,1,2,6,2,2,1,1,condominium,10,Johor,2,9045,758809,19771,Reject,7
6,employer,269188,20,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,8530,602708,12392,Accept,7
6,employer,402252,17,no,1,2,6,2,2,1,2,condominium,10,Johor,3,3761,901079,17615,Reject,8
6,employer,105577,20,yes,1,2,6,2,2,1,1,condominium,10,Johor,1,6671,1338424,14368,Accept,9
6,employer,787954,14,no,1,2,6,2,2,1,3,condominium,10,Johor,2,4649,1158899,11021,Accept,6
6,employer,462446,17,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,12169,924297,18802,Accept,7
6,employer,477993,23,no,1,2,6,2,2,1,1,condominium,10,Johor,3,3912,605985,9906,Reject,8
6,employer,489336,17,yes,1,2,6,2,2,1,2,condominium,10,Johor,1,10760,1337201,10205,Accept,7
6,employer,513874,15,no,1,2,6,2,2,1,2,condominium,10,Johor,3,4144,1073726,13200,Accept,7
6,employer,656453,17,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,3613,1315891,9060,Accept,8
6,employer,609577,16,no,1,2,6,2,2,1,2,condominium,10,Johor,2,9671,677064,12632,Accept,7
6,employer,386539,15,yes,1,2,6,2,2,1,3,condominium,10,Johor,3,12422,1319239,9775,Accept,8
6,employer,137642,16,no,1,2,6,2,2,1,3,condominium,10,Johor,1,4940,842850,12586,Reject,6
6,employer,183586,17,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,8191,1427018,15251,Reject,7
6,employer,527945,18,no,1,2,6,2,2,1,1,condominium,10,Johor,3,6345,1391346,11721,Accept,9
6,employer,676083,23,yes,1,2,6,2,2,1,3,condominium,10,Johor,3,8945,438094,8358,Accept,8
6,employer,401931,14,no,1,2,6,2,2,1,2,condominium,10,Johor,1,8214,472127,8037,Accept,9
6,employer,121821,23,yes,1,2,6,2,2,1,2,condominium,10,Johor,2,4938,934288,19728,Accept,8
6,employer,693005,23,no,1,2,6,2,2,1,2,condominium,10,Johor,3,3699,623478,15832,Accept,9
6,employer,384255,12,yes,1,2,6,2,2,1,3,condominium,10,Johor,3,4008,552448,12142,Accept,8
6,employer,740785,12,no,1,2,6,2,2,1,1,condominium,10,Johor,3,8222,842418,7731,Accept,8
6,employer,557554,16,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,8932,646904,9306,Accept,6
6,employer,242183,23,no,1,2,6,2,2,1,1,condominium,10,Johor,3,8582,1307524,12481,Accept,8
6,employer,173436,22,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,12246,1214167,10543,Accept,7
6,employer,237187,17,no,1,2,6,2,2,1,2,condominium,10,Johor,3,6858,1172482,8439,Accept,8
6,employer,331828,12,yes,1,2,6,2,2,1,1,condominium,10,Johor,1,9975,873957,13293,Accept,8
6,employer,241807,14,no,1,2,6,2,2,1,1,condominium,10,Johor,2,6134,849370,7725,Reject,6
6,employer,151474,22,yes,1,2,6,2,2,1,3,condominium,10,Johor,1,12430,753494,9126,Reject,7
6,employer,635895,13,no,1,2,6,2,2,1,2,condominium,10,Johor,2,9895,1334964,14696,Accept,7
6,employer,695807,21,yes,1,2,6,2,2,1,2,condominium,10,Johor,3,10954,923249,19041,Accept,8
6,employer,261331,22,no,1,2,6,2,2,1,2,condominium,10,Johor,3,12191,661246,13360,Reject,7
6,employer,365141,19,yes,1,2,6,2,2,1,3,condominium,10,Johor,3,5530,1146292,16147,Accept,6
6,employer,593441,11,no,1,2,6,2,2,1,1,condominium,10,Johor,2,5224,1397221,17395,Reject,7
6,employer,202336,22,yes,1,2,6,2,2,1,2,condominium,10,Johor,2,5235,859039,14414,Accept,9
6,employer,440879,18,no,1,2,6,2,2,1,1,condominium,10,Johor,2,7039,727197,10504,Accept,7
6,employer,275895,18,yes,1,2,6,2,2,1,2,condominium,10,Johor,1,12536,440704,19217,Accept,8
6,employer,192042,17,no,1,2,6,2,2,1,3,condominium,10,Johor,2,11707,787581,11892,Accept,8
6,employer,144562,22,yes,1,2,6,2,2,1,2,condominium,10,Johor,1,8236,1256236,16914,Accept,7
6,employer,540001,17,no,1,2,6,2,2,1,3,condominium,10,Johor,3,8602,1113986,13667,Accept,7
6,employer,254064,19,yes,1,2,6,2,2,1,2,condominium,10,Johor,3,9043,787944,18526,Accept,9
6,employer,191277,19,no,1,2,6,2,2,1,2,condominium,10,Johor,1,11987,742295,16996,Accept,9
6,employer,165333,18,yes,1,2,6,2,2,1,2,condominium,10,Johor,3,7894,1336811,14694,Accept,9
6,employer,602067,20,no,1,2,6,2,2,1,2,condominium,10,Johor,2,5406,786869,15973,Accept,7
6,employer,388865,20,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,6988,1388365,19265,Accept,8
6,employer,699257,22,no,1,2,6,2,2,1,2,condominium,10,Johor,3,11899,420576,16052,Accept,9
6,employer,708619,16,yes,1,2,6,2,2,1,2,condominium,10,Johor,1,4658,1440306,17423,Accept,9
6,employer,662151,13,no,1,2,6,2,2,1,2,condominium,10,Johor,1,6358,984358,8233,Accept,7
6,employer,371469,12,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,9980,734075,14810,Accept,6
6,employer,314438,17,no,1,2,6,2,2,1,2,condominium,10,Johor,3,7222,428416,12522,Accept,8
6,employer,277066,23,yes,1,2,6,2,2,1,3,condominium,10,Johor,1,5949,898568,8769,Accept,8
6,employer,206912,13,no,1,2,6,2,2,1,3,condominium,10,Johor,2,12098,618117,8469,Accept,7
6,employer,311541,16,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,4808,1341881,9013,Accept,7
6,employer,584422,10,no,1,2,6,2,2,1,3,condominium,10,Johor,1,5990,1435095,15133,Reject,8
6,employer,208272,23,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,9005,723345,13687,Accept,9
6,employer,653510,20,no,1,2,6,2,2,1,3,condominium,10,Johor,1,11859,1446900,10811,Accept,7
6,employer,180804,10,yes,1,2,6,2,2,1,2,condominium,10,Johor,2,11098,1331507,19835,Accept,6
6,employer,639935,22,no,1,2,6,2,2,1,1,condominium,10,Johor,1,11521,848025,8134,Accept,6
6,employer,724090,17,yes,1,2,6,2,2,1,1,condominium,10,Johor,3,9345,849337,11947,Accept,8
6,employer,159785,14,no,1,2,6,2,2,1,1,condominium,10,Johor,3,7030,1140469,11140,Accept,9
6,employer,502899,23,yes,1,2,6,2,2,1,2,condominium,10,Johor,2,8004,767665,12517,Accept,9
6,employer,738038,17,no,1,2,6,2,2,1,1,condominium,10,Johor,1,4446,476535,10201,Reject,9
6,employer,318244,14,yes,1,2,6,2,2,1,1,condominium,10,Johor,1,12337,1134223,19501,Accept,8
6,employer,424268,11,no,1,2,6,2,2,1,3,condominium,10,Johor,2,8760,1406634,15761,Accept,6
6,employer,687914,24,yes,1,2,6,2,2,1,2,condominium,10,Johor,2,9463,534165,8941,Accept,6
6,employer,304063,15,no,1,2,6,2,2,1,2,condominium,10,Johor,2,11739,420268,9518,Reject,8
6,employer,324626,24,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,11727,1157409,15521,Accept,6
6,employer,449140,21,no,1,2,6,2,2,1,2,condominium,10,Johor,2,5083,842189,17664,Accept,6
6,employer,570416,17,yes,1,2,6,2,2,1,1,condominium,10,Johor,1,6297,1338876,14094,Accept,9
6,employer,156405,11,no,1,2,6,2,2,1,3,condominium,10,Johor,2,3926,1275482,7832,Accept,9
6,employer,335685,17,yes,1,2,6,2,2,1,1,condominium,10,Johor,2,8299,717042,10691,Reject,9
6,employer,238022,23,no,1,2,6,2,2,1,2,condominium,10,Johor,3,7330,801624,19817,Accept,9
6,employer,372159,15,yes,1,2,6,2,2,1,3,condominium,10,Johor,2,6118,753478,17923,Accept,8
6,employer,619477,18,no,1,2,6,2,2,1,1,condominium,10,Johor,1,11968,906233,17621,Accept,8
6,employer,680649,24,yes,1,2,6,2,2,1,3,condominium,10,Johor,3,6376,441212,18404,Accept,8
6,employer,291391,11,no,1,2,6,2,2,1,2,condominium,10,Johor,2,6551,1423554,12038,Accept,9
2,Self_Employed,456764,11,yes,1,2,7,6,2,2,2,condominium,11,Johor,2,9999,1334324,12142,Reject,7
2,Self_Employed,277808,16,no,1,2,7,6,2,2,1,condominium,11,Johor,3,5994,920143,15724,Accept,9
2,Self_Employed,315406,21,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,5249,726880,18518,Accept,8
2,Self_Employed,522160,12,no,1,2,7,6,2,2,2,condominium,11,Johor,2,4424,968181,18236,Accept,6
2,Self_Employed,668840,18,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,9170,1099311,7775,Accept,7
2,Self_Employed,404623,16,no,1,2,7,6,2,2,1,condominium,11,Johor,2,12195,675731,14534,Accept,8
2,Self_Employed,410589,24,yes,1,2,7,6,2,2,2,condominium,11,Johor,3,3954,1229131,11034,Accept,6
2,Self_Employed,118209,24,no,1,2,7,6,2,2,1,condominium,11,Johor,2,7826,563060,11310,Accept,9
2,Self_Employed,783134,18,yes,1,2,7,6,2,2,3,condominium,11,Johor,1,4308,732306,18763,Accept,9
2,Self_Employed,620152,20,no,1,2,7,6,2,2,1,condominium,11,Johor,3,4910,1249424,10006,Accept,6
2,Self_Employed,528176,23,yes,1,2,7,6,2,2,2,condominium,11,Johor,2,8242,1200318,17393,Accept,7
2,Self_Employed,632334,20,no,1,2,7,6,2,2,2,condominium,11,Johor,1,4938,745454,9265,Accept,7
2,Self_Employed,290763,12,yes,1,2,7,6,2,2,1,condominium,11,Johor,1,4547,478607,18129,Accept,6
2,Self_Employed,111645,14,no,1,2,7,6,2,2,1,condominium,11,Johor,1,10771,933472,8640,Accept,8
2,Self_Employed,273371,11,yes,1,2,7,6,2,2,1,condominium,11,Johor,3,6075,1175672,8758,Accept,7
2,Self_Employed,162119,16,no,1,2,7,6,2,2,1,condominium,11,Johor,3,4835,1272271,8918,Accept,6
2,Self_Employed,717226,24,yes,1,2,7,6,2,2,2,condominium,11,Johor,1,9166,976361,13450,Accept,7
2,Self_Employed,574186,11,no,1,2,7,6,2,2,3,condominium,11,Johor,2,8600,786665,7867,Accept,9
2,Self_Employed,655447,21,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,9347,662504,19695,Accept,7
2,Self_Employed,506311,23,no,1,2,7,6,2,2,2,condominium,11,Johor,1,7254,1182176,12569,Reject,7
2,Self_Employed,606091,17,yes,1,2,7,6,2,2,2,condominium,11,Johor,2,9048,1070848,10971,Reject,9
2,Self_Employed,472106,16,no,1,2,7,6,2,2,1,condominium,11,Johor,1,9162,779661,17599,Reject,8
2,Self_Employed,750375,21,yes,1,2,7,6,2,2,1,condominium,11,Johor,1,9063,1288954,15923,Accept,9
2,Self_Employed,619321,12,no,1,2,7,6,2,2,2,condominium,11,Johor,2,5125,683546,18989,Accept,9
2,Self_Employed,149632,14,yes,1,2,7,6,2,2,1,condominium,11,Johor,2,8198,1324214,10822,Accept,8
2,Self_Employed,227717,22,no,1,2,7,6,2,2,2,condominium,11,Johor,2,7027,678646,16922,Accept,7
2,Self_Employed,323720,11,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,8558,744996,18095,Reject,8
2,Self_Employed,519429,22,no,1,2,7,6,2,2,1,condominium,11,Johor,2,6229,574141,15886,Reject,7
2,Self_Employed,734436,24,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,8989,464969,14163,Accept,9
2,Self_Employed,496612,20,no,1,2,7,6,2,2,1,condominium,11,Johor,2,6980,712869,9250,Accept,8
2,Self_Employed,753421,15,yes,1,2,7,6,2,2,2,condominium,11,Johor,3,4360,510015,17508,Accept,9
2,Self_Employed,142077,18,no,1,2,7,6,2,2,1,condominium,11,Johor,3,11193,714485,9630,Reject,8
2,Self_Employed,688535,15,yes,1,2,7,6,2,2,2,condominium,11,Johor,2,9862,1174216,13315,Accept,6
2,Self_Employed,301252,24,no,1,2,7,6,2,2,2,condominium,11,Johor,3,11955,875706,18951,Reject,6
2,Self_Employed,607916,21,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,6807,519605,19915,Accept,9
2,Self_Employed,168456,12,no,1,2,7,6,2,2,1,condominium,11,Johor,2,4020,1117874,8165,Accept,9
2,Self_Employed,779364,24,yes,1,2,7,6,2,2,3,condominium,11,Johor,3,9804,914763,18819,Accept,6
2,Self_Employed,455589,21,no,1,2,7,6,2,2,2,condominium,11,Johor,2,11771,1421691,12165,Accept,8
2,Self_Employed,215890,23,yes,1,2,7,6,2,2,1,condominium,11,Johor,3,10831,1332591,11117,Accept,6
2,Self_Employed,556683,22,no,1,2,7,6,2,2,3,condominium,11,Johor,3,11641,892015,9680,Reject,9
2,Self_Employed,515650,16,yes,1,2,7,6,2,2,2,condominium,11,Johor,1,10436,456484,19553,Accept,7
2,Self_Employed,178287,11,no,1,2,7,6,2,2,3,condominium,11,Johor,1,5169,1431815,16690,Reject,8
2,Self_Employed,140130,10,yes,1,2,7,6,2,2,1,condominium,11,Johor,1,9839,733762,15972,Accept,6
2,Self_Employed,778563,17,no,1,2,7,6,2,2,3,condominium,11,Johor,1,4015,914178,9688,Accept,6
2,Self_Employed,778990,10,yes,1,2,7,6,2,2,1,condominium,11,Johor,3,8674,1173425,11363,Accept,6
2,Self_Employed,575864,10,no,1,2,7,6,2,2,3,condominium,11,Johor,3,11477,851245,13619,Accept,9
2,Self_Employed,308787,23,yes,1,2,7,6,2,2,2,condominium,11,Johor,1,11930,921067,9687,Accept,8
2,Self_Employed,759136,19,no,1,2,7,6,2,2,1,condominium,11,Johor,3,10590,877414,9296,Reject,8
